Theta1,Theta2,Lambda1,Lambda2
1.3318264577329708,-0.8574449468390226,7.510511009294724,2.1295268825777156
1.3362564130717678,-0.8544916432798247,7.519244419419383,2.1307109921506466
1.340720576559899,-0.8515155342877374,7.527970019263457,2.1319079050043848
1.3452189481973647,-0.8485166198627605,7.536685960734882,2.1331176600834656
1.3497515279841645,-0.845494900004894,7.545390373050729,2.1343402930365825
1.3543183159202987,-0.842450374714138,7.5540813626519325,2.135575836167311
1.3589193120057672,-0.8393830439904924,7.56275701312253,2.1368243183864326
1.3635545162405702,-0.8362929078339572,7.571415385113566,2.1380857651659317
1.3682239286247075,-0.8331799662445324,7.5800545162717885,2.139360198494742
1.3729275491581792,-0.830044219222218,7.588672421173355,2.1406476368363165
1.377665377840985,-0.8268856667670142,7.5972670912626405,2.141948095088104
1.3824374146731253,-0.8237043088789209,7.605836494796355,2.1432615845430147
1.3872436596545998,-0.8205001455579379,7.614378576793108,2.1445881128529503
1.392084112785409,-0.8172731768040654,7.622891258988604,2.1459276839944845
1.3969587740655522,-0.8140234026173033,7.631372439796624,2.147280298236782
1.40186764349503,-0.8107508229976517,7.63981999427596,2.148645952111832
1.4068107210738419,-0.8074554379451104,7.648231774103482,2.1500246383870985
1.4117880068019881,-0.8041372474596796,7.6566056075535,2.1514163460406532
1.4167995006794687,-0.8007962515413594,7.664939299483619,2.1528210602389084
1.4218452027062838,-0.7974324501901495,7.6732306313272165,2.1542387623170116
1.4269251128824332,-0.7940458434060501,7.681477361092787,2.1556694297620176
1.4320392312079169,-0.7906364311890611,7.68967722337025,2.1571130361989113
1.4371875576827349,-0.7872042135391826,7.697827929344491,2.1585695513795944
1.4423700923068872,-0.7837491904564144,7.705927166816254,2.1600389411749124
1.4475868350803738,-0.7802713619407567,7.713972600230593,2.1615211675698323
1.4528377860031947,-0.7767707279922095,7.721961870713076,2.1630161886618593
1.4581229450753501,-0.7732472886107726,7.72989259611391,2.1645239586627976
1.4634423122968399,-0.7697010437964463,7.737762371060192,2.1660444279039464
1.468795887667664,-0.7661319935492305,7.745568767016485,2.167577542844841
1.4741836711878222,-0.762540137869125,7.75330933235386,2.169123246085632
1.4796056628573149,-0.75892547675613,7.760981592427674,2.170681476383204
1.4850618626761418,-0.7552880102102454,7.768583049664221,2.172252168671148
1.4905522706443033,-0.7516277382314712,7.77611118365646,2.1738352540836745
1.496076886761799,-0.7479446608198075,7.783563451269034,2.175430659983584
1.5016357110286291,-0.7442387779752542,7.790937286752783,2.1770383099943946
1.5072287434447935,-0.7405100896978114,7.798230101868898,2.1786581240367306
1.5128559840102922,-0.7367585959874791,7.80543928602299,2.1802900183690817
1.5185174327251252,-0.7329842968442571,7.812562206409214,2.181933905633042
1.5242130895892927,-0.7291871922681457,7.819596208164674,2.1835896949031204
1.5299429546027945,-0.7253672822591446,7.826538614534323,2.1852572917412534
1.5357070277656306,-0.721524566817254,7.833386727046514,2.1869365982561053
1.541505309077801,-0.7176590459424738,7.840137825699466,2.188627513167279
1.5473377985393058,-0.713770719634804,7.8467891691588,2.1903299318745404
1.5532044961501448,-0.7098595878942447,7.8533379949663615,2.192043746532155
1.5591054019103183,-0.7059256507207959,7.859781519760547,2.1937688461284663
1.5650405158198262,-0.7019689081144576,7.86611693950832,2.1955051165708044
1.5710098378786683,-0.6979893600752296,7.872341429749122,2.1972524407758365
1.5770133680868448,-0.6939870066031121,7.878452145850895,2.1990106987654796
1.5830511064443555,-0.689961847698105,7.884446223278403,2.200779767768465
1.5891230529512006,-0.6859138833602083,7.890320777874052,2.2025595223276744
1.59522920760738,-0.6818431135894221,7.896072906151437,2.204349834413344
1.6013695704128939,-0.6777495383857463,7.901699685601786,2.2061505735422595
1.607544141367742,-0.673633157749181,7.9071981750135105,2.207961606903024
1.6137529204719245,-0.6694939716797261,7.912565414805076,2.2097827994875177
1.6199959077254413,-0.6653319801773817,7.917798427371381,2.2116140142286604
1.6262731031282924,-0.6611471832421477,7.922894217443831,2.213455112144554
1.6325845066804778,-0.6569395808740242,7.927849772464313,2.215305952489132
1.6389301183819978,-0.652709173073011,7.932662062973282,2.2171663929094074
1.645309938232852,-0.6484559598391083,7.937328043012119,2.2190362896094085
1.6517239662330405,-0.644179941172316,7.941844650539975,2.2209154975209158
1.6581722023825634,-0.6398811170726343,7.94620880786529,2.2228038704810853
1.6646546466814205,-0.635559487540063,7.950417422092148,2.224701261417059
1.671171299129612,-0.6312150525746021,7.954467385581699,2.2266075225376474
1.677722159727138,-0.6268478121762516,7.958355576428788,2.2285225055321822
1.6843072284739982,-0.6224577663450116,7.962078858953982,2.2304460617766244
1.6909265053701927,-0.618044915080882,7.9656340842111995,2.232378042547015
1.6975799904157216,-0.6136092583838628,7.969018090511065,2.2343182992403494
1.7042676836105848,-0.6091507962539541,7.972227703960215,2.2362666836029605
1.7109895849547823,-0.6046695286911559,7.975259739016685,2.2382230479664895
1.7177456944483143,-0.6001654556954681,7.978110999061547,2.240187245491515
1.7245360120911806,-0.5956385772668907,7.980778276986986,2.2421591304189215
1.7313605378833812,-0.5910888934054238,7.983258355800924,2.2441385583290727
1.738219271824916,-0.5865164041110673,7.985548009248397,2.2461253864088544
1.7451122139157853,-0.5819211093838212,7.987644002449793,2.248119473726657
1.7520393641559888,-0.5773030092236856,7.989543092556106,2.2501206815153485
1.7590007225455266,-0.5726621036306604,7.991242029421365,2.2521288734633083
1.765996289084399,-0.5679983926047456,7.992737556292342,2.254143916013553
1.7730260637726056,-0.5633118761459414,7.9940264105156835,2.2561656786710245
1.7800900466101466,-0.5586025542542475,7.995105324262593,2.258194034318073
1.7871882375970218,-0.5538704269296642,7.995971025271173,2.2602288595381683
1.7943206367332314,-0.5491154941721912,7.996620237606537,2.2622700349478917
1.8014872440187752,-0.5443377559818287,7.997049682438829,2.2643174455372264
1.8086880594536536,-0.5395372123585765,7.997256078839184,2.2663709810181705
1.8159230830378663,-0.5347138633024349,7.997236144593798,2.268430536181701
1.8231923147714133,-0.5298677088134036,7.9969865970361536,2.2704960112631016
1.8304957546542946,-0.5249987488914829,7.996504153897469,2.2725673123156525
1.8378334026865102,-0.5201069835366726,7.99578553417549,2.27464435159271
1.84520525886806,-0.5151924127489728,7.994827459021631,2.2767270479381443
1.8526113231989445,-0.5102550365283833,7.993626652646583,2.2788153271851517
1.8600515956791632,-0.5052948548749043,7.992179843244379,2.2809091225634104
1.8675260763087163,-0.5003118677885358,7.990483763935012,2.283008375114576
1.8750347650876036,-0.4953060752692776,7.988535153725587,2.285113034116064
1.8825776620158252,-0.4902774773171299,7.986330758490071,2.287223057513112
1.8901547670933811,-0.4852260739320926,7.9838673319676445,2.2893384123590628
1.8977660803202716,-0.48015186511416574,7.981141636779635,2.2914590752638224
1.9054116016964964,-0.47505485086334936,7.978150445465079,2.2935850328504435
1.9130913312220554,-0.4699350311796434,7.9748905415348315,2.295716282219764
1.9208052688969488,-0.4647924060630479,7.97135872054427,2.2978528314230275
1.9285534147211765,-0.4596269755135628,7.967551791184498,2.299994699942412
1.9363357686947384,-0.45443873953118813,7.963466576392046,2.3021419191793733
1.9441523308176347,-0.44922769811592395,7.959099914476989,2.3042945329507125
1.9520031010898655,-0.4439938512677702,7.954448660269415,2.3064525979922528
1.9598880795114306,-0.43873719898672686,7.949509686284186,2.308616184470016
1.96780726608233,-0.43345774127279396,7.944279883903864,2.3107853764987847
1.9757606608025637,-0.42815547812597154,7.938756164579748,2.3129602726678966
1.9837482636721318,-0.42283040954625956,7.9329354610508584,2.315140986574148
1.991770074691034,-0.417482535533658,7.926814728580774,2.317327647361643
1.999826093859271,-0.41211185608816686,7.9203909462121675,2.3195204002684324
2.007916321176842,-0.4067183712097862,7.913661118038888,2.321719407179762
2.016040756643747,-0.401302080898516,7.906622274495438,2.3239248471877643
2.024199400259987,-0.3958629851543562,7.899271473663617,2.3261369171573745
2.032392252025561,-0.39040108397730683,7.891605802596221,2.328355832298296
2.0406193119404694,-0.38491637736736795,7.883622378657492,2.3305818267427747
2.0488805800047123,-0.3794088653245395,7.875318350880172,2.332815154128975
2.0571760562182893,-0.37387854784882146,7.866690901338893,2.335056088189711
2.0655057405812007,-0.36832542494021386,7.857737246539623,2.3373049233462813
2.0738696330934467,-0.36274949659871675,7.848454638824967,2.339561975307159
2.082267733755027,-0.35715076282433006,7.838840367794976,2.341827581671248
2.0907000425659414,-0.3515292236170538,7.828891761743191,2.3441021025354383
2.09916655952619,-0.34588487897688797,7.818606189107607,2.346385921106145
2.1076672846357734,-0.34021772890383256,7.807981059936232,2.3486794443145405
2.1162022178946907,-0.33452777339788764,7.797013827366873,2.350983103435145
2.1247713593029425,-0.32881501245905315,7.785701989120802,2.3532973547074416
2.133374708860529,-0.3230794460873291,7.774043089009899,2.3556226799601787
2.1420122665674493,-0.31732107428271544,7.762034718456914,2.3579595872379837
2.150684032423704,-0.3115398970452123,7.749674518028391,2.360308611429934
2.1593900064292932,-0.30573591437481956,7.736960178979824,2.362670314899673
2.168130188584217,-0.29990912627153726,7.723889444812617,2.3650452881166957
2.1769045788884744,-0.2940595327353654,7.710460112842375,2.3674341502883753
2.1857131773420666,-0.288187133766304,7.696670035778002,2.369837549992303
2.1945559839449933,-0.28229192936435304,7.682517123311145,2.3722561658085057
2.203432998697254,-0.2763739195295125,7.667999343715434,2.3746907069510876
2.2123442215988494,-0.2704331042617824,7.6531147254549845,2.377141913898808
2.2212896526497787,-0.2644694835611628,7.63786135880159,2.379610559024145
2.2302692918500426,-0.2584830574276536,7.622237397460035,2.382097447220309
2.239283139199641,-0.25247382586125483,7.606241060200906,2.3846034165257244
2.2483311946985736,-0.24644178886196652,7.589870632500329,2.387129338745435
2.2574134583468406,-0.24038694642978864,7.573124468185922,2.3896761200689083
2.2665299301444417,-0.2343092985647212,7.556000991088368,2.3922447016836603
2.2756806100913773,-0.22820884526676422,7.538498696697893,2.3948360603841596
2.284865498187647,-0.22208558653591767,7.52061615382498,2.397451209175402
2.2940845944332513,-0.21593952237218156,7.502352006264546,2.4000911978705752
2.30333789882819,-0.2097706527755559,7.483704974462917,2.4027571136821946
2.312625411372463,-0.20357897774604067,7.464673857186801,2.4054500818060736
2.3219471320660703,-0.1973644972836359,7.445257533193454,2.4081712659975105
2.3313030609090117,-0.19112721138834154,7.425454962901325,2.4109218691390106
2.3406931979012877,-0.18486712006015762,7.40526519006027,2.413703133798887
2.350117543042898,-0.17858422329908416,7.384687343420553,2.4165163427800658
2.359576096333843,-0.17227852110512112,7.3637206383997675,2.419362819658369
2.369068857774122,-0.16595001347826854,7.342364378746785,2.422243929309594
2.378595827363735,-0.1595987004185264,7.320617958201852,2.425161078424645
2.388157005102683,-0.1532245819258947,7.298480862151894,2.428115716011983
2.3977523909909646,-0.14682765800037342,7.275952669280123,2.4311093338866443
2.407381985028581,-0.1404079286419626,7.253033053208962,2.4341434671450504
2.4170457872155318,-0.13396539385066222,7.229721784135334,2.437219694624848
2.4267437975518167,-0.1275000536264723,7.20601873045729,2.440339639348966
2.436476016037436,-0.1210119079693928,7.181923860390993,2.4435049689530985
2.4462424426723897,-0.11450095687942374,7.157437243577028,2.4467173960957993
2.4560430774566777,-0.10796720035656512,7.132559052674925,2.4499786788503326
2.4658779203903,-0.10141063840081695,7.107289564944928,2.4532906210774783
2.4757469714732565,-0.09483127101217921,7.081629163815808,2.4566550727784024
2.4856502307055477,-0.08822909819065192,7.055578340437719,2.4600739304267463
2.495587698087173,-0.08160411993623506,7.029137695218878,2.4635491372790583
2.5055593736181327,-0.07495633624892865,7.002307939344999,2.467082683662668
2.5155652572984266,-0.06828574712873269,6.975089896280293,2.4706766072401316
2.525605349128055,-0.061592352575647165,6.947484503248841,2.4743329932493165
2.535679649107018,-0.054876152589672086,6.9194928126951964,2.4780539747182226
2.545788157235315,-0.04813714717080745,6.89111599372295,2.4818417326536153
2.5559308735129465,-0.041375336319053255,6.862355333510092,2.485698496202535
2.566107797939912,-0.0345907200344095,6.833212238699885,2.4896265427857367
2.576318930516212,-0.02778329831687619,6.803688236766022,2.493628198202128
2.5865642712418464,-0.02095307116645332,6.7737849773508065,2.497705836703224
2.596843820116815,-0.014100038583140892,6.743504233575045,2.5018618810366813
2.6071575771411184,-0.007224200566938904,6.712847903318399,2.506098802457938
2.6175055423147557,-0.0003255571178473572,6.681818010468854,2.510419120708967
2.6278877156377276,0.006595891764133748,6.65041670614001,2.514825403963197
2.6383040971100336,0.013540146079004414,6.618646269854866,2.5193202687356004
2.648754686731674,0.020507205826764636,6.586509110694735,2.5239063797569576
2.6592394845026486,0.027497071007414418,6.554007768411989,2.52858644981134
2.6697584904229577,0.03450974162095376,6.5211449145052125,2.533363239535784
2.6803117044926013,0.04154521766738266,6.487923353255456,2.5382395571812024
2.690899126711579,0.04860349914670112,6.454346022722191,2.5432182583335203
2.701520757079891,0.055684586058909136,6.420415995697576,2.5483022455940545
2.7121765955975374,0.06278847840400673,6.386136480617669,2.553494468218153
2.7228666422645182,0.06991517618199387,6.351510822429187,2.5587979217110988
2.7335908970808336,0.07706467939287058,6.3165425034104175,2.564215647380306
2.744349360046483,0.08423698803663685,6.28123514394488,2.56975073184283
2.755142031161467,0.09143210211329267,6.245592503246335,2.5754063064872037
2.765968910425785,0.09865002162283805,6.209618480033766,2.5811855468886615
2.7768299978394375,0.10589074656527299,6.173317113154884,2.5870916721767574
2.787725293402424,0.11315427694059749,6.136692582156796,2.5931279443544617
2.7986547971147453,0.12044061274881154,6.099749207802423,2.599297667567753
2.809618508976401,0.12774975398991514,6.062491452531257,2.605604187324817
2.8206164289873907,0.13508170066390832,6.024923920863104,2.612050889663897
2.831648557147715,0.14243645277079103,5.987051359743371,2.618641200268899
2.8427148934573734,0.14981401031056332,5.948878658828557,2.625378583531861
2.8538154379163663,0.15721437328322518,5.910410850710578,2.6322665415613993
2.8649501905246937,0.1646375416887766,5.87165311107852,2.6393086131362713
2.876119151282355,0.17208351552721757,5.832610758816517,2.6465083726032
2.887322320189351,0.1795522947985481,5.793289256036367,2.653869428718143
2.8985596972456813,0.18704387950276818,5.753694208043591,2.661395423430182
2.909831282451346,0.19455826963987782,5.71383136323559,2.6690900306072556
2.9211370758063446,0.20209546520987703,5.6737066129306255,2.676956954702957
2.932477077310678,0.2096554662127658,5.63332599112632,2.6849999293636717
2.9438512869643456,0.21723827264854412,5.592695674186409,2.6932227159753084
2.9552597047673475,0.224843884517212,5.551821980454529,2.7016291021489636
2.966702330719684,0.23247230181876943,5.5107113697937615,2.7102229001448195
2.9781791648213543,0.24012352455321642,5.469370443050807,2.7190079452336757
2.989690207072359,0.24779755272055298,5.427805941443522,2.7279880939954784
3.0012354574726983,0.2554943863207791,5.386024745870742,2.737167222554285
3.012814916022372,0.26321402535389476,5.344033876143213,2.746549224749134
3.02442858272138,0.2709564698199,5.301840490134569,2.75613801024029
3.036076457569722,0.2787217197187948,5.259451882851268,2.7659375025504165
3.047758540567399,0.2865097750505791,5.216875485420454,2.7759516370402304
3.0594748317144096,0.29432063581525303,5.1741188639947575,2.7861843588182507
3.071225331010755,0.3021543020128165,5.1311897185730375,2.7966396205842816
3.0830100384564347,0.3100107736432695,5.0880958817361766,2.807321380406334
3.0948289540514486,0.3178900507066121,5.044845317297012,2.818233599430696
3.106682077795797,0.3257921332028442,5.0014461188635435,2.8293802395249585
3.1185694096894796,0.33371702113196594,4.957906508314635,2.8407652608537886
3.1304909497324966,0.34166471449397723,4.91423483418743,2.852392619387354
3.1424466979248478,0.34963521328887803,4.870439569975747,2.8642662643423007
3.1544366542665334,0.3576285175166684,4.826529312338811,2.876390135555265
3.1664608187575536,0.36564462717734836,4.7825127792196795,2.888768160788956
3.178519191397908,0.3736835422709179,4.738398807872775,2.901404252970861
3.1906117721875966,0.3817452627973769,4.6941963528000255,2.914302307364754
3.2027385611266195,0.3898297887567255,4.649914483595136,2.9274661986751607
3.214899558214977,0.3979371201489637,4.605562382695558,2.9408997780850625
3.2270947634526683,0.40606725697409146,4.561149343041842,2.9546068702271366
3.2393241768396943,0.41422019923210873,4.516684765644023,2.9685912700889148
3.251587798376055,0.4223959469230156,4.472178157054858,2.9828567398523047
3.2638856280617494,0.430594500046812,4.427639126749693,2.997407005667969
3.2762176658967785,0.438815858603498,4.383077384412865,3.012245754365136
3.2885839118811417,0.4470600225930735,4.338502737130616,3.0273766300974874
3.3009843660148395,0.45532699201553856,4.293925086490502,3.042803230925822
3.3134190282978717,0.4636167668708932,4.249354425587415,3.058529105338276
3.325887898730238,0.4719293471591374,4.204800835936382,3.074557748708953
3.338390977311939,0.48026473288027116,4.160274484292341,3.0908925996958923
3.350928264042974,0.48862292403429447,4.115785619377243,3.107537036579352
3.3634997589233433,0.49700392062120735,4.071344568514834,3.124494373541518
3.376105461953047,0.5054077226410097,4.026961734173597,3.1417678568887486
3.388745373132085,0.5138343300937017,3.982647590418353,3.15936066121762
3.4014194924604575,0.5222837429792833,3.9384126792711944,3.1772758855260594
3.414127819938164,0.5307559612977543,3.894267606982402,3.195516549270967
3.4268703555652054,0.5392509850491148,3.8502230402121356,3.21408558837379
3.4396470993415806,0.547768814233365,3.806289702123785,3.2329858511756173
3.4524580512672904,0.5563094488505047,3.7624783683898944,3.2522200943434076
3.4653032113423348,0.564872888900534,3.718799863111722,3.2717909787291077
3.478182579566713,0.5734591343834529,3.675265054653557,3.2917010651834357
3.491096155940426,0.5820681852992613,3.6318848513929805,3.3119528103262477
3.504043940463473,0.5907000416479593,3.588670197388394,3.3325485622754556
3.5170259331358547,0.5993547034295469,3.5456320679652125,3.3534905563365753
3.5300421339575703,0.6080321706440239,3.502781465222164,3.374780910655055
3.5430925429286204,0.6167324432913905,3.460129413459335,3.3964216218336305
3.556177160049005,0.6254555213716467,3.4176869545295663,3.418414560517059
3.569295985318724,0.6342014048847925,3.3754651431150062,3.440761466946626
3.582449018737777,0.6429700938308278,3.3334750419306634,3.4634639464869816
3.5956362603061645,0.6517615882097527,3.291727716856915,3.4865234651278776
3.6088577100238863,0.6605758880215672,3.2502342320030113,3.5099413449635217
3.6221133678909423,0.6694129932662712,3.2090056447037414,3.53371875965234
3.6354032339073328,0.6782729039438647,3.168053000451478,3.557856729860003
3.648727308073058,0.6871556200543478,3.127387327765976,3.5823561186887156
3.662085590388117,0.6960611415977205,3.0870196330043216,3.6072176270958125
3.6754780808525105,0.7049894685739827,3.046960895113595,3.6324417893048073
3.688904779466238,0.7139406009831345,3.007222060328881,3.658028968212149
3.7023656862293004,0.7229145388251759,2.9678140368193344,3.683979350792996
3.715860801141697,0.7319112821001068,2.928747689285151,3.71029294350945
