Theta1,Theta2,Lambda1,Lambda2
1.0471975511965976,-1.0471975511965976,5.67402653534946,2.208063180924587
1.047214655271265,-1.0471861484801528,5.674986599075185,2.208408517081107
1.0472659674952665,-1.0471519403308185,5.676031247949282,2.208756199735058
1.0473514878686023,-1.0470949267485945,5.677160436486086,2.209106219473485
1.0474712163912725,-1.047015107733481,5.678374113031632,2.2094585696665807
1.0476251530632772,-1.046912483285478,5.679672219750663,2.209813246463027
1.0478132978846162,-1.0467870534045853,5.681054692611296,2.2101702487845523
1.0480356508552895,-1.046638818090803,5.682521461367383,2.210529578319697
1.048292211975297,-1.0464677773441313,5.684072449538508,2.210891239516796
1.048582981244639,-1.04627393116457,5.685707574387697,2.2112552395761647
1.0489079586633152,-1.046057279552119,5.687426746896773,2.2116215884415005
1.049267144231326,-1.0458178225067787,5.689229871739405,2.2119902987904987
1.049660537948671,-1.0455555600285487,5.691116847251828,2.212361386024663
1.0500881398153503,-1.0452704921174292,5.69308756540126,2.212734868258341
1.050549949831364,-1.04496261877342,5.695141911751994,2.213110766306961
1.051045967996712,-1.0446319399965214,5.6972797654291885,2.2134891036744713
1.0515761943113942,-1.044278455786733,5.699500999080342,2.2138699065399927
1.052140628775411,-1.0439021661440553,5.7018054788344825,2.2142532037436737
1.052739271388762,-1.043503071068488,5.704193064259042,2.2146390267717435
1.0533721221514474,-1.0430811705600311,5.706663608314452,2.2150274097407827
1.054039181063467,-1.0426364646186848,5.709216957306435,2.215418389381174
1.054740448124821,-1.0421689532444487,5.711852950836034,2.215812005019772
1.0554759233355093,-1.0416786364373232,5.714571421747352,2.2162082985617606
1.0562456066955321,-1.041165514197308,5.717372196073008,2.2166073144717107
1.0570494982048892,-1.0406295865244033,5.720255092977355,2.2170090997538323
1.0578875978635807,-1.040070853418609,5.723219924697415,2.2174137039314243
1.0587599056716064,-1.0394893148799251,5.726266496481573,2.21782117902551
1.0596664216289664,-1.0388849709083519,5.72939460652602,2.2182315795326684
1.0606071457356607,-1.038257821503889,5.732604045908961,2.2186449624020557
1.0615820779916894,-1.0376078666665365,5.7358945985225915,2.2190613870116054
1.0625912183970525,-1.0369351063962944,5.739266041002847,2.2194809151434294
1.06363456695175,-1.0362395406931628,5.7427181426569485,2.2199036109583847
1.0647121236557817,-1.0355211695571416,5.746250665388726,2.2203295409698396
1.0658238885091478,-1.0347799929882309,5.749863363621772,2.2207587740166095
1.0669698615118481,-1.0340160109864305,5.753555984220379,2.2211913812350756
1.0681500426638828,-1.0332292235517406,5.757328266408322,2.2216274360304835
1.069364431965252,-1.0324196306841613,5.761179941685468,2.222067014047413
1.0706130294159555,-1.0315872323836923,5.765110733742226,2.222510193139427
1.0718958350159933,-1.0307320286503339,5.7691203583718735,2.2229570533378893
1.0732128487653654,-1.0298540194840857,5.773208523380713,2.2234076768199595
1.0745640706640718,-1.0289532048849481,5.7773749284961635,2.223862147875754
1.0759495007121125,-1.0280295848529208,5.7816192652726865,2.2243205528746763
1.0773691389094877,-1.027083159388004,5.785941216995672,2.2247829802309225
1.0788229852561972,-1.026113928490198,5.790340458583211,2.2252495203681417
1.080311039752241,-1.025121892159502,5.7948166564858195,2.2257202656832757
1.0818333023976192,-1.0241070503959167,5.799369468584107,2.2261953105095587
1.0833897731923317,-1.0230694031994416,5.803998544084419,2.226674751078679
1.0849804521363784,-1.0220089505700771,5.808703523412452,2.2271586854821144
1.0866053392297597,-1.020925692507823,5.813484038104875,2.227647213631622
1.0882644344724752,-1.0198196290126793,5.818339710698965,2.2281404372189053
1.089957737864525,-1.018690760084646,5.823270154620282,2.228638459674432
1.0916852494059093,-1.0175390857237232,5.828274974068389,2.2291413861254283
1.0934469690966278,-1.016364605929911,5.833353763900654,2.229649323353037
1.0952428969366805,-1.015167320703209,5.838506109514137,2.230162379748636
1.0970730329260676,-1.0139472300436176,5.843731586725602,2.2306806652693343
1.0989373770647892,-1.0127043339511366,5.849029761649655,2.231204291392631
1.1008359293528451,-1.011438632425766,5.854400190575037,2.2317333710702476
1.1027686897902353,-1.0101501254675058,5.85984241983911,2.2322680186811343
1.1047356583769599,-1.0088388130763561,5.865355985700542,2.2328083499836504
1.1067368351130187,-1.0075046952523168,5.870940414210219,2.2333544820669244
1.1087722199984118,-1.006147771995388,5.8765952210804056,2.2339065333013903
1.1108418130331394,-1.0047680433055697,5.882319911552211,2.2344646232885204
1.1129456142172014,-1.0033655091828617,5.888113980261328,2.235028872809729
1.1150836235505976,-1.0019401696272643,5.893976911102141,2.2355994037744864
1.1172558410333282,-1.0004920246387772,5.899908177090181,2.2361763391676157
1.119462266665393,-0.9990210742174007,5.905907240222977,2.2367598029958002
1.1217029004467922,-0.9975273183631347,5.911973551339337,2.2373499202332914
1.123977742377526,-0.9960107570759791,5.918106549977096,2.2379468167668395
1.1262867924575939,-0.9944713903559339,5.924305664229328,2.238550619339835
1.1286300506869962,-0.9929092182029992,5.930570310599116,2.2391614554956787
1.1310075170657328,-0.9913242406171748,5.936899893852857,2.2397794535203905
1.1334191915938037,-0.9897164575984609,5.943293806872168,2.24040474238445
1.1358650742712089,-0.9880858691468576,5.949751430504431,2.2410374516839013
1.1383451650979486,-0.9864324752623647,5.956272133412006,2.2416777115807034
1.1408594640740226,-0.9847562759449822,5.9628552719201435,2.2423256527423554
1.143407971199431,-0.9830572711947101,5.969500189863663,2.2429814062808053
1.1459906864741736,-0.9813354610115484,5.976206218432411,2.2436451036906413
1.1486076098982505,-0.9795908453954972,5.982972676015557,2.2443168767865878
1.1512587414716617,-0.9778234243465564,5.989798868044769,2.244996857640315
1.1539440811944073,-0.9760331978647261,5.99668408683632,2.2456851785165775
1.1566636290664873,-0.9742201659500062,6.003627611432142,2.2463819718086864
1.1594173850879017,-0.9723843286023968,6.010628707439925,2.2470873699733453
1.1622053492586504,-0.9705256858218978,6.017686626872258,2.247801505464844
1.1650275215787333,-0.9686442376085093,6.0248006079849175,2.2485245106686524
